Timestamp	AWF (125 Hz)
0	NaN
0.008	NaN
0.016	NaN
0.024	NaN
0.032	NaN
0.04	NaN
0.048	NaN
0.056	NaN
0.064	NaN
0.072	NaN
0.08	NaN
0.088	NaN
0.096	NaN
0.104	NaN
0.112	NaN
0.12	NaN
0.128	NaN
0.136	NaN
0.144	NaN
0.152	NaN
0.16	NaN
0.168	NaN
0.176	NaN
0.184	NaN
0.192	NaN
0.2	NaN
0.208	NaN
0.216	NaN
0.224	-4.140000
0.232	-4.120000
0.24	-3.920000
0.248	-3.780000
0.256	-3.660000
0.264	-3.620000
0.272	-3.640000
0.28	-3.640000
0.288	-3.580000
0.296	-3.500000
0.304	-3.480000
0.312	-3.480000
0.32	-3.580000
0.328	-3.720000
0.336	-3.800000
0.344	-3.760000
0.352	-3.600000
0.36	-3.400000
0.368	-3.240000
0.376	-3.200000
0.384	-3.240000
0.392	-3.340000
0.4	-3.360000
0.408	-3.340000
0.416	-3.240000
0.424	-3.140000
0.432	-3.020000
0.44	-2.900000
0.448	-2.920000
0.456	-3.040000
0.464	-3.200000
0.472	-3.400000
0.48	-3.460000
0.488	-3.440000
0.496	-3.340000
0.504	-3.280000
0.512	-3.240000
0.52	-3.200000
0.528	-2.900000
0.536	-2.380000
0.544	-1.540000
0.552	0.000000
0.56	1.460000
0.568	2.040000
0.576	2.360000
0.584	2.580000
0.592	2.880000
0.6	3.240000
0.608	3.840000
0.616	4.780000
0.624	5.960000
0.632	7.280000
0.64	8.600000
0.648	9.860000
0.656	10.780000
0.664	11.320000
0.672	11.640000
0.68	12.000000
0.688	12.540000
0.696	12.800000
0.704	12.620000
0.712	12.260000
0.72	12.260000
0.728	12.660000
0.736	13.260000
0.744	13.620000
0.752	13.780000
0.76	13.740000
0.768	13.540000
0.776	13.100000
0.784	12.620000
0.792	12.520000
0.8	12.800000
0.808	13.360000
0.816	13.900000
0.824	14.100000
0.832	14.160000
0.84	14.300000
0.848	14.600000
0.856	14.840000
0.864	14.940000
0.872	14.820000
0.88	14.640000
0.888	14.740000
0.896	15.000000
0.904	15.120000
0.912	15.200000
0.92	15.300000
0.928	15.360000
0.936	15.440000
0.944	15.580000
0.952	15.820000
0.96	16.160000
0.968	16.460000
0.976	16.460000
0.984	16.280000
0.992	16.140000
1	16.280000
1.008	16.740000
1.016	17.200000
1.024	17.380000
1.032	17.400000
1.04	17.500000
1.048	17.840000
1.056	18.320000
1.064	18.680000
1.072	18.720000
1.08	18.620000
1.088	18.460000
1.096	18.380000
1.104	18.380000
1.112	18.400000
1.12	18.460000
1.128	18.480000
1.136	18.440000
1.144	18.380000
1.152	18.320000
1.16	18.320000
1.168	18.420000
1.176	18.800000
1.184	19.140000
1.192	19.300000
1.2	19.140000
1.208	18.840000
1.216	18.820000
1.224	19.220000
1.232	19.580000
1.24	19.580000
1.248	19.240000
1.256	18.920000
1.264	18.760000
1.272	18.700000
1.28	18.560000
1.288	18.380000
1.296	18.280000
1.304	18.340000
1.312	18.420000
1.32	18.540000
1.328	18.640000
1.336	18.720000
1.344	18.780000
1.352	18.660000
1.36	18.600000
1.368	18.720000
1.376	18.960000
1.384	19.180000
1.392	19.260000
1.4	19.260000
1.408	19.480000
1.416	20.020000
1.424	20.620000
1.432	20.900000
1.44	21.060000
1.448	21.260000
1.456	21.420000
1.464	21.540000
1.472	21.580000
1.48	21.660000
1.488	21.880000
1.496	22.080000
1.504	21.940000
1.512	21.640000
1.52	21.600000
1.528	21.880000
1.536	22.300000
1.544	22.460000
1.552	22.400000
1.56	22.340000
1.568	22.360000
1.576	22.440000
1.584	22.420000
1.592	22.400000
1.6	22.460000
1.608	22.440000
1.616	22.200000
1.624	21.780000
1.632	21.320000
1.64	21.020000
1.648	20.940000
1.656	21.020000
1.664	21.020000
1.672	20.720000
1.68	20.200000
1.688	19.860000
1.696	19.840000
1.704	20.080000
1.712	20.120000
1.72	19.700000
1.728	19.220000
1.736	18.920000
1.744	18.940000
1.752	19.060000
1.76	19.120000
1.768	19.120000
1.776	19.260000
1.784	19.380000
1.792	19.480000
1.8	19.700000
1.808	19.900000
1.816	19.980000
1.824	19.860000
1.832	19.700000
1.84	19.760000
1.848	20.220000
1.856	20.600000
1.864	20.620000
1.872	20.380000
1.88	20.080000
1.888	19.800000
1.896	19.540000
1.904	19.240000
1.912	18.740000
1.92	18.040000
1.928	17.200000
1.936	16.260000
1.944	15.280000
1.952	14.340000
1.96	13.320000
1.968	12.060000
1.976	10.660000
1.984	9.280000
1.992	7.760000
2	6.060000
2.008	4.320000
2.016	2.220000
2.024	-1.820000
2.032	-3.200000
2.04	-4.240000
2.048	-5.820000
2.056	-8.040000
2.064	-9.860000
2.072	-11.420000
2.08	-13.020000
2.088	-14.360000
2.096	-15.420000
2.104	-16.360000
2.112	-17.260000
2.12	-18.240000
2.128	-18.920000
2.136	-19.160000
2.144	-19.460000
2.152	-20.380000
2.16	-21.980000
2.168	-23.400000
2.176	-23.920000
2.184	-23.880000
2.192	-24.000000
2.2	-24.420000
2.208	-24.780000
2.216	-24.500000
2.224	-23.520000
2.232	-22.800000
2.24	-22.900000
2.248	-23.460000
2.256	-23.940000
2.264	-24.120000
2.272	-24.080000
2.28	-24.180000
2.288	-24.260000
2.296	-24.120000
2.304	-23.940000
2.312	-24.040000
2.32	-24.260000
2.328	-24.300000
2.336	-24.120000
2.344	-24.120000
2.352	-24.440000
2.36	-24.740000
2.368	-24.400000
2.376	-23.580000
2.384	-23.140000
2.392	-23.360000
2.4	-23.520000
2.408	-23.140000
2.416	-22.400000
2.424	-22.120000
2.432	-22.600000
2.44	-23.100000
2.448	-23.020000
2.456	-22.720000
2.464	-22.960000
2.472	-23.620000
2.48	-23.920000
2.488	-23.440000
2.496	-22.540000
2.504	-22.080000
2.512	-22.360000
2.52	-22.740000
2.528	-22.400000
2.536	-21.460000
2.544	-20.600000
2.552	-20.460000
2.56	-21.060000
2.568	-21.760000
2.576	-21.960000
2.584	-21.660000
2.592	-21.200000
2.6	-20.980000
2.608	-21.140000
2.616	-21.440000
2.624	-21.700000
2.632	-21.620000
2.64	-21.400000
2.648	-21.180000
2.656	-20.960000
2.664	-20.680000
2.672	-20.500000
2.68	-20.360000
2.688	-20.120000
2.696	-19.820000
2.704	-19.480000
2.712	-19.100000
2.72	-18.740000
2.728	-18.260000
2.736	-17.800000
2.744	-17.660000
2.752	-17.900000
2.76	-18.120000
2.768	-18.160000
2.776	-18.000000
2.784	-17.820000
2.792	-17.620000
2.8	-17.340000
2.808	-16.860000
2.816	-16.160000
2.824	-15.540000
2.832	-15.160000
2.84	-15.060000
2.848	-15.080000
2.856	-15.100000
2.864	-14.920000
2.872	-14.660000
2.88	-14.400000
2.888	-14.240000
2.896	-14.200000
2.904	-14.280000
2.912	-14.420000
2.92	-14.600000
2.928	-14.800000
2.936	-14.920000
2.944	-14.880000
2.952	-14.700000
2.96	-14.420000
2.968	-14.200000
2.976	-14.020000
2.984	-13.740000
2.992	-13.380000
3	-13.080000
3.008	-12.980000
3.016	-12.960000
3.024	-12.900000
3.032	-12.800000
3.04	-12.540000
3.048	-12.260000
3.056	-11.900000
3.064	-11.480000
3.072	-11.040000
3.08	-10.740000
