Timestamp	AWP (125 Hz)
0	NaN
0.008	NaN
0.016	NaN
0.024	NaN
0.032	NaN
0.04	NaN
0.048	NaN
0.056	NaN
0.064	NaN
0.072	NaN
0.08	NaN
0.088	NaN
0.096	NaN
0.104	NaN
0.112	NaN
0.12	NaN
0.128	NaN
0.136	NaN
0.144	NaN
0.152	NaN
0.16	NaN
0.168	NaN
0.176	NaN
0.184	NaN
0.192	NaN
0.2	NaN
0.208	NaN
0.216	NaN
0.224	0.010000
0.232	0.000000
0.24	0.000000
0.248	0.000000
0.256	0.000000
0.264	0.010000
0.272	0.010000
0.28	0.010000
0.288	0.010000
0.296	0.010000
0.304	0.020000
0.312	0.020000
0.32	0.030000
0.328	0.040000
0.336	0.040000
0.344	0.030000
0.352	0.010000
0.36	0.000000
0.368	0.000000
0.376	0.000000
0.384	0.010000
0.392	0.010000
0.4	0.000000
0.408	0.000000
0.416	0.000000
0.424	0.000000
0.432	0.000000
0.44	0.000000
0.448	0.000000
0.456	-0.010000
0.464	-0.010000
0.472	0.000000
0.48	0.000000
0.488	0.010000
0.496	0.010000
0.504	0.000000
0.512	0.000000
0.52	0.000000
0.528	-0.010000
0.536	-0.020000
0.544	-0.040000
0.552	-0.040000
0.56	-0.050000
0.568	-0.050000
0.576	-0.050000
0.584	-0.050000
0.592	-0.050000
0.6	-0.060000
0.608	-0.070000
0.616	-0.070000
0.624	-0.070000
0.632	-0.070000
0.64	-0.080000
0.648	-0.090000
0.656	-0.100000
0.664	-0.110000
0.672	-0.110000
0.68	-0.110000
0.688	-0.100000
0.696	-0.080000
0.704	-0.080000
0.712	-0.080000
0.72	-0.090000
0.728	-0.090000
0.736	-0.090000
0.744	-0.100000
0.752	-0.100000
0.76	-0.110000
0.768	-0.120000
0.776	-0.120000
0.784	-0.110000
0.792	-0.110000
0.8	-0.110000
0.808	-0.110000
0.816	-0.110000
0.824	-0.110000
0.832	-0.110000
0.84	-0.110000
0.848	-0.120000
0.856	-0.120000
0.864	-0.120000
0.872	-0.120000
0.88	-0.130000
0.888	-0.130000
0.896	-0.140000
0.904	-0.140000
0.912	-0.140000
0.92	-0.130000
0.928	-0.130000
0.936	-0.140000
0.944	-0.140000
0.952	-0.140000
0.96	-0.140000
0.968	-0.140000
0.976	-0.150000
0.984	-0.150000
0.992	-0.160000
1	-0.160000
1.008	-0.160000
1.016	-0.160000
1.024	-0.160000
1.032	-0.150000
1.04	-0.150000
1.048	-0.160000
1.056	-0.160000
1.064	-0.170000
1.072	-0.170000
1.08	-0.180000
1.088	-0.180000
1.096	-0.180000
1.104	-0.190000
1.112	-0.190000
1.12	-0.180000
1.128	-0.170000
1.136	-0.160000
1.144	-0.160000
1.152	-0.170000
1.16	-0.170000
1.168	-0.170000
1.176	-0.170000
1.184	-0.170000
1.192	-0.160000
1.2	-0.160000
1.208	-0.150000
1.216	-0.160000
1.224	-0.170000
1.232	-0.190000
1.24	-0.190000
1.248	-0.190000
1.256	-0.180000
1.264	-0.170000
1.272	-0.160000
1.28	-0.160000
1.288	-0.160000
1.296	-0.160000
1.304	-0.160000
1.312	-0.160000
1.32	-0.160000
1.328	-0.160000
1.336	-0.160000
1.344	-0.160000
1.352	-0.160000
1.36	-0.160000
1.368	-0.180000
1.376	-0.190000
1.384	-0.190000
1.392	-0.190000
1.4	-0.190000
1.408	-0.190000
1.416	-0.180000
1.424	-0.190000
1.432	-0.210000
1.44	-0.210000
1.448	-0.220000
1.456	-0.230000
1.464	-0.230000
1.472	-0.230000
1.48	-0.230000
1.488	-0.240000
1.496	-0.240000
1.504	-0.240000
1.512	-0.230000
1.52	-0.230000
1.528	-0.240000
1.536	-0.240000
1.544	-0.240000
1.552	-0.230000
1.56	-0.230000
1.568	-0.230000
1.576	-0.240000
1.584	-0.230000
1.592	-0.230000
1.6	-0.230000
1.608	-0.230000
1.616	-0.220000
1.624	-0.220000
1.632	-0.210000
1.64	-0.200000
1.648	-0.200000
1.656	-0.200000
1.664	-0.190000
1.672	-0.190000
1.68	-0.190000
1.688	-0.180000
1.696	-0.180000
1.704	-0.190000
1.712	-0.200000
1.72	-0.200000
1.728	-0.200000
1.736	-0.190000
1.744	-0.180000
1.752	-0.170000
1.76	-0.160000
1.768	-0.160000
1.776	-0.170000
1.784	-0.180000
1.792	-0.190000
1.8	-0.190000
1.808	-0.200000
1.816	-0.210000
1.824	-0.220000
1.832	-0.220000
1.84	-0.210000
1.848	-0.210000
1.856	-0.190000
1.864	-0.180000
1.872	-0.170000
1.88	-0.160000
1.888	-0.160000
1.896	-0.160000
1.904	-0.150000
1.912	-0.150000
1.92	-0.150000
1.928	-0.140000
1.936	-0.130000
1.944	-0.110000
1.952	-0.100000
1.96	-0.080000
1.968	-0.060000
1.976	-0.040000
1.984	-0.030000
1.992	-0.020000
2	-0.020000
2.008	-0.010000
2.016	0.000000
2.024	0.010000
2.032	0.020000
2.04	0.040000
2.048	0.050000
2.056	0.070000
2.064	0.090000
2.072	0.120000
2.08	0.150000
2.088	0.180000
2.096	0.220000
2.104	0.230000
2.112	0.250000
2.12	0.260000
2.128	0.260000
2.136	0.250000
2.144	0.280000
2.152	0.300000
2.16	0.340000
2.168	0.350000
2.176	0.350000
2.184	0.360000
2.192	0.380000
2.2	0.410000
2.208	0.410000
2.216	0.380000
2.224	0.350000
2.232	0.330000
2.24	0.350000
2.248	0.380000
2.256	0.390000
2.264	0.400000
2.272	0.400000
2.28	0.400000
2.288	0.400000
2.296	0.380000
2.304	0.380000
2.312	0.380000
2.32	0.380000
2.328	0.370000
2.336	0.380000
2.344	0.400000
2.352	0.400000
2.36	0.380000
2.368	0.350000
2.376	0.340000
2.384	0.360000
2.392	0.380000
2.4	0.370000
2.408	0.350000
2.416	0.330000
2.424	0.340000
2.432	0.360000
2.44	0.360000
2.448	0.350000
2.456	0.350000
2.464	0.370000
2.472	0.390000
2.48	0.390000
2.488	0.360000
2.496	0.340000
2.504	0.340000
2.512	0.350000
2.52	0.340000
2.528	0.320000
2.536	0.290000
2.544	0.290000
2.552	0.320000
2.56	0.340000
2.568	0.330000
2.576	0.320000
2.584	0.300000
2.592	0.310000
2.6	0.320000
2.608	0.340000
2.616	0.340000
2.624	0.330000
2.632	0.320000
2.64	0.310000
2.648	0.300000
2.656	0.290000
2.664	0.260000
2.672	0.250000
2.68	0.250000
2.688	0.260000
2.696	0.270000
2.704	0.270000
2.712	0.260000
2.72	0.260000
2.728	0.240000
2.736	0.220000
2.744	0.220000
2.752	0.230000
2.76	0.230000
2.768	0.240000
2.776	0.230000
2.784	0.230000
2.792	0.220000
2.8	0.220000
2.808	0.220000
2.816	0.200000
2.824	0.190000
2.832	0.190000
2.84	0.180000
2.848	0.180000
2.856	0.170000
2.864	0.160000
2.872	0.150000
2.88	0.150000
2.888	0.150000
2.896	0.150000
2.904	0.150000
2.912	0.150000
2.92	0.160000
2.928	0.160000
2.936	0.160000
2.944	0.160000
2.952	0.150000
2.96	0.140000
2.968	0.130000
2.976	0.140000
2.984	0.140000
2.992	0.140000
3	0.140000
3.008	0.140000
3.016	0.140000
3.024	0.140000
3.032	0.140000
3.04	0.130000
3.048	0.120000
3.056	0.110000
3.064	0.100000
