Timestamp	CO2_1 (62.5 Hz)
0	NaN
0.016	NaN
0.032	NaN
0.048	NaN
0.064	NaN
0.08	NaN
0.096	NaN
0.112	NaN
0.128	NaN
0.144	NaN
0.16	NaN
0.176	NaN
0.192	NaN
0.208	NaN
0.224	32.799047
0.24	32.892378
0.256	33.092373
0.272	33.292368
0.288	33.399032
0.304	33.199037
0.32	33.092373
0.336	33.199037
0.352	33.399032
0.368	33.492363
0.384	33.692358
0.4	33.599027
0.416	33.399032
0.432	33.399032
0.448	33.399032
0.464	33.399032
0.48	33.492363
0.496	33.599027
0.512	33.692358
0.528	33.692358
0.544	33.999017
0.56	34.092348
0.576	34.199012
0.592	34.292343
0.608	34.399007
0.624	32.599052
0.64	26.092548
0.656	18.492738
0.672	11.999567
0.688	7.693008
0.704	4.493088
0.72	3.293118
0.736	2.799797
0.752	2.199812
0.768	1.693158
0.784	1.399832
0.8	1.293168
0.816	1.093173
0.832	0.999842
0.848	0.893178
0.864	0.799847
0.88	0.693183
0.896	0.599852
0.912	0.493188
0.928	0.599852
0.944	0.493188
0.96	0.493188
0.976	0.599852
0.992	0.599852
1.008	0.599852
1.024	0.599852
1.04	0.599852
1.056	0.493188
1.072	0.493188
1.088	0.599852
1.104	0.599852
1.12	0.399857
1.136	0.493188
1.152	0.599852
1.168	0.599852
1.184	0.599852
1.2	0.493188
1.216	0.599852
1.232	0.599852
1.248	0.599852
1.264	0.599852
1.28	0.693183
1.296	0.693183
1.312	0.693183
1.328	0.693183
1.344	0.599852
1.36	0.693183
1.376	0.693183
1.392	0.693183
1.408	0.693183
1.424	0.693183
1.44	0.693183
1.456	0.599852
1.472	0.693183
1.488	0.799847
1.504	0.893178
1.52	0.799847
1.536	0.693183
1.552	0.599852
1.568	0.693183
1.584	0.799847
1.6	0.799847
1.616	0.799847
1.632	0.799847
1.648	0.799847
1.664	0.799847
1.68	0.799847
1.696	0.693183
1.712	0.693183
1.728	0.599852
1.744	0.599852
1.76	0.693183
1.776	0.799847
1.792	0.799847
1.808	0.799847
1.824	0.693183
1.84	0.599852
1.856	0.599852
1.872	0.493188
1.888	0.693183
1.904	0.799847
1.92	0.799847
1.936	0.799847
1.952	0.693183
1.968	0.693183
1.984	0.799847
2	0.799847
2.016	0.799847
2.032	0.799847
2.048	0.799847
2.064	0.693183
2.08	0.693183
2.096	0.693183
2.112	0.799847
2.128	0.893178
2.144	1.093173
2.16	1.493163
2.176	2.199812
2.192	3.493113
2.208	5.293068
2.224	7.493013
2.24	10.092948
2.256	13.092873
2.272	15.999467
2.288	18.492738
2.304	20.492688
2.32	21.892653
2.336	22.599302
2.352	23.399282
2.368	23.999267
2.384	24.599252
2.4	25.199237
2.416	25.692558
2.432	26.199212
2.448	26.492538
2.464	26.892528
2.48	27.092523
2.496	27.199187
2.512	27.292518
2.528	27.492513
2.544	27.492513
2.56	27.692508
2.576	27.799172
2.592	27.892503
2.608	27.999167
2.624	28.199162
2.64	28.199162
2.656	28.199162
2.672	28.399157
2.688	28.599152
2.704	28.692483
2.72	28.692483
2.736	28.799147
2.752	28.892478
2.768	28.999142
2.784	29.199137
2.8	29.292468
2.816	29.292468
2.832	29.292468
2.848	29.492463
2.864	29.692458
2.88	29.799122
2.896	29.799122
2.912	29.892453
2.928	30.092448
2.944	30.199112
2.96	30.092448
2.976	30.092448
2.992	30.199112
3.008	30.292443
3.024	30.492438
3.04	30.692433
3.056	30.799097
3.072	30.999092
3.088	31.199087
3.104	31.199087
3.12	31.199087
3.136	31.092423
3.152	31.199087
3.168	31.292418
3.184	31.492413
3.2	31.492413
3.216	31.599077
3.232	31.599077
3.248	31.599077
3.264	31.692408
3.28	31.692408
3.296	31.692408
3.312	31.692408
3.328	31.692408
3.344	31.599077
3.36	31.492413
3.376	31.492413
3.392	31.692408
3.408	31.999067
3.424	31.892403
3.44	31.892403
3.456	31.999067
3.472	32.199062
3.488	32.199062
3.504	32.092398
3.52	32.092398
3.536	32.292393
3.552	32.492388
3.568	32.492388
3.584	32.599052
3.6	32.692383
3.616	32.692383
3.632	32.692383
3.648	32.692383
3.664	32.892378
3.68	32.999042
3.696	32.892378
3.712	32.799047
3.728	32.892378
3.744	32.799047
3.76	32.799047
3.776	32.999042
3.792	33.092373
3.808	33.292368
3.824	33.292368
3.84	33.292368
3.856	33.292368
3.872	33.292368
3.888	33.599027
3.904	33.799022
3.92	33.892353
3.936	33.892353
3.952	33.692358
3.968	33.599027
3.984	33.799022
4	33.799022
4.016	33.799022
4.032	33.892353
4.048	34.092348
