Timestamp	Resp (62.5 Hz)
0	NaN
0.016	NaN
0.032	NaN
0.048	NaN
0.064	NaN
0.08	NaN
0.096	NaN
0.112	NaN
0.128	NaN
0.144	NaN
0.16	NaN
0.176	NaN
0.192	NaN
0.208	NaN
0.224	-0.118359
0.24	-0.116774
0.256	-0.114238
0.272	-0.111385
0.288	-0.108215
0.304	-0.105045
0.32	-0.101875
0.336	-0.098388
0.352	-0.094584
0.368	-0.090146
0.384	-0.084757
0.4	-0.078734
0.416	-0.072394
0.432	-0.064786
0.448	-0.056227
0.464	-0.047034
0.48	-0.037524
0.496	-0.028648
0.512	-0.020406
0.528	-0.011847
0.544	-0.003288
0.56	0.003686
0.576	0.009075
0.592	0.013196
0.608	0.016049
0.624	0.018268
0.64	0.019853
0.656	0.021121
0.672	0.022389
0.688	0.023974
0.704	0.026510
0.72	0.029680
0.736	0.033484
0.752	0.040775
0.768	0.051236
0.784	0.062648
0.8	0.074694
0.816	0.086423
0.832	0.098152
0.848	0.111466
0.864	0.126048
0.88	0.139679
0.896	0.152676
0.912	0.166941
0.928	0.182474
0.944	0.198958
0.96	0.216076
0.976	0.232560
0.992	0.248727
1.008	0.265528
1.024	0.282646
1.04	0.298179
1.056	0.312127
1.072	0.327026
1.088	0.342876
1.104	0.359677
1.12	0.376795
1.136	0.392962
1.152	0.409129
1.168	0.427832
1.184	0.448754
1.2	0.469359
1.216	0.489647
1.232	0.511520
1.248	0.535295
1.264	0.559704
1.28	0.584430
1.296	0.605669
1.312	0.624055
1.328	0.639905
1.344	0.653219
1.36	0.663046
1.376	0.669703
1.392	0.671922
1.408	0.670654
1.424	0.666850
1.44	0.661144
1.456	0.656072
1.472	0.651317
1.488	0.646245
1.504	0.640539
1.52	0.635467
1.536	0.631029
1.552	0.627225
1.568	0.623738
1.584	0.620568
1.6	0.617398
1.616	0.613277
1.632	0.608522
1.648	0.604084
1.664	0.600597
1.68	0.598378
1.696	0.597427
1.712	0.598378
1.728	0.600914
1.744	0.604401
1.76	0.608839
1.776	0.613277
1.792	0.617081
1.808	0.620885
1.824	0.624055
1.84	0.627225
1.856	0.630395
1.872	0.634516
1.888	0.639588
1.904	0.645294
1.92	0.651317
1.936	0.657657
1.952	0.664631
1.968	0.675092
1.984	0.687772
2	0.699818
2.016	0.710913
2.032	0.722325
2.048	0.733737
2.064	0.744198
2.08	0.753708
2.096	0.760682
2.112	0.764803
2.128	0.765120
2.144	0.762584
2.16	0.758463
2.176	0.752440
2.192	0.740711
2.208	0.724227
2.224	0.704890
2.24	0.683968
2.256	0.663363
2.272	0.643075
2.288	0.622787
2.304	0.602182
2.32	0.583162
2.336	0.565727
2.352	0.549560
2.368	0.534027
2.384	0.518177
2.4	0.502327
2.416	0.487111
2.432	0.472529
2.448	0.456362
2.464	0.439244
2.48	0.423077
2.496	0.407861
2.512	0.392328
2.528	0.376795
2.544	0.361896
2.56	0.348265
2.576	0.335902
2.592	0.325124
2.608	0.315297
2.624	0.306421
2.64	0.298179
2.656	0.289937
2.672	0.280744
2.688	0.270917
2.704	0.259505
2.72	0.247142
2.736	0.236047
2.752	0.225586
2.768	0.215125
2.784	0.204347
2.8	0.194520
2.816	0.185961
2.832	0.178987
2.848	0.173281
2.864	0.169794
2.88	0.168209
2.896	0.167892
2.912	0.168526
2.928	0.169794
2.944	0.171696
2.96	0.172964
2.976	0.173281
2.992	0.172330
3.008	0.170111
3.024	0.165673
3.04	0.159650
3.056	0.152359
3.072	0.144434
3.088	0.135558
3.104	0.126365
3.12	0.116855
3.136	0.106711
3.152	0.096567
3.168	0.086423
3.184	0.075328
3.2	0.063282
3.216	0.051553
3.232	0.039824
3.248	0.025876
3.264	0.010026
3.28	-0.004239
3.296	-0.016919
3.312	-0.030550
3.328	-0.044498
3.344	-0.058129
3.36	-0.070492
3.376	-0.080636
3.392	-0.088244
3.408	-0.094267
3.424	-0.099022
3.44	-0.102509
3.456	-0.105362
3.472	-0.107581
3.488	-0.109483
3.504	-0.112336
3.52	-0.115506
3.536	-0.118042
3.552	-0.119627
3.568	-0.119944
3.584	-0.118993
3.6	-0.117408
3.616	-0.115189
3.632	-0.111068
3.648	-0.105996
3.664	-0.099022
3.68	-0.090780
3.696	-0.083489
3.712	-0.077149
3.728	-0.069858
3.744	-0.061616
3.76	-0.053374
3.776	-0.045449
3.792	-0.037841
3.808	-0.030867
3.824	-0.025161
3.84	-0.020406
3.856	-0.016602
3.872	-0.013432
3.888	-0.010896
3.904	-0.008677
3.92	-0.006775
3.936	-0.005190
